epoch,learning_rate,total_loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,epoch_seconds,peak_memory_gb
1,0.005,0.3516762376984821,0.15643528903872828,0.1634672106551693,0.012737933665948078,0.019035804519306504,1440.8020913999062,4.268285274505615
2,0.005,0.29364939300893256,0.12427431095076916,0.1417476069522139,0.009784483998750784,0.01784299122323512,1457.1587461000308,4.084848403930664
3,0.005,0.28729801933716526,0.12317542938991971,0.13664926615189857,0.009642442651326,0.017830881400029697,1395.8134998001624,4.270455837249756
4,0.005,0.28790427194434554,0.12288825022182265,0.13770525049337523,0.009466024248139845,0.017844747477479928,1322.686612599995,4.268841743469238
5,0.005,0.2886387614651619,0.12410257083886722,0.13664766420612742,0.009788707166913402,0.018099819019622806,1343.9346074999776,4.269402980804443
6,0.005,0.2878202949962235,0.12381804253621334,0.13607920224835698,0.009768673768133026,0.018154376631005806,1293.4135547999758,3.9902210235595703
7,0.005,0.28721891973148617,0.12287614216910615,0.13614101390075323,0.009871357072476767,0.01833040620695066,1332.9043133000378,4.172579288482666
8,0.005,0.28936819990121787,0.12468962737441382,0.1362214998409413,0.010022236332398895,0.018434836421449514,1313.3655926999636,4.176250457763672
9,0.0005,0.21500333851163886,0.08123816095109432,0.11248578611524704,0.006010433891828852,0.015268957838413833,1328.2494820000138,4.086740493774414
10,0.0005,0.19837418360054043,0.07253583714281643,0.1062488106226045,0.00497189466424289,0.01461764124376678,1352.188793499954,4.173601150512695
11,0.0005,0.18990337611854904,0.0682696468844134,0.10271819830521031,0.00455730805753252,0.01435822273420231,1323.280445399927,4.269372463226318
12,0.0005,0.18404303605938646,0.06550354692855127,0.09999596728041431,0.004390327375475064,0.014153194599723432,1287.4610371999443,4.268249034881592
13,5e-05,0.17206306049525902,0.059950810134118244,0.09450620617665374,0.004212067257261899,0.013393976747188223,37371.57254850003,1.7061290740966797
14,5e-05,0.17109673814875265,0.059654620829506136,0.09395505542549626,0.004163715930910655,0.013323346046422596,1008.0690402998589,1.5479516983032227
15,5e-05,0.16970000445720804,0.05897714335305481,0.09330164193131309,0.00411451902845458,0.01330670000353943,1002.3939191000536,1.5494318008422852
